locus_tag	ftype	length_bp	gene	EC_number	COG	product
KHAGGBBM_00697	CDS	960				hypothetical protein
KHAGGBBM_00698	gene	558				
KHAGGBBM_00698	CDS	558				hypothetical protein
KHAGGBBM_00699	gene	525				
KHAGGBBM_00699	CDS	525				hypothetical protein
KHAGGBBM_00700	gene	486				
KHAGGBBM_00700	CDS	486				hypothetical protein
KHAGGBBM_00701	gene	1221	ufaA1			
KHAGGBBM_00701	CDS	1221	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
KHAGGBBM_00702	gene	723				
KHAGGBBM_00702	CDS	723				hypothetical protein
KHAGGBBM_00703	gene	1260				
KHAGGBBM_00703	CDS	1260				hypothetical protein
KHAGGBBM_00704	gene	720				
KHAGGBBM_00704	CDS	720				hypothetical protein
KHAGGBBM_00705	gene	435				
KHAGGBBM_00705	CDS	435				hypothetical protein
KHAGGBBM_00706	gene	729	mlrA			
KHAGGBBM_00706	CDS	729	mlrA		COG0789	HTH-type transcriptional regulator MlrA
KHAGGBBM_00707	gene	534	blc_2			
KHAGGBBM_00707	CDS	534	blc_2		COG3040	Outer membrane lipoprotein Blc
KHAGGBBM_00708	gene	348				
KHAGGBBM_00708	CDS	348				hypothetical protein
KHAGGBBM_00709	gene	3150	cusA			
KHAGGBBM_00709	CDS	3150	cusA		COG3696	Cation efflux system protein CusA
KHAGGBBM_00710	gene	1263	cusB			
KHAGGBBM_00710	CDS	1263	cusB			Cation efflux system protein CusB
KHAGGBBM_00711	gene	348	cusF			
KHAGGBBM_00711	CDS	348	cusF		COG5569	Cation efflux system protein CusF
KHAGGBBM_00712	gene	1386	cusC_1			
KHAGGBBM_00712	CDS	1386	cusC_1		COG1538	Cation efflux system protein CusC
KHAGGBBM_00713	gene	684	cusR			
KHAGGBBM_00713	CDS	684	cusR		COG0745	Transcriptional regulatory protein CusR
KHAGGBBM_00714	gene	1434	cusS			
KHAGGBBM_00714	CDS	1434	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
KHAGGBBM_00715	gene	267				
KHAGGBBM_00715	CDS	267				hypothetical protein
KHAGGBBM_00716	gene	534				
KHAGGBBM_00716	CDS	534				hypothetical protein
KHAGGBBM_00717	gene	1122	roxA_1			
KHAGGBBM_00717	CDS	1122	roxA_1	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
KHAGGBBM_00718	gene	1536				
KHAGGBBM_00718	rRNA	1536				16S ribosomal RNA
KHAGGBBM_00719	gene	76				
KHAGGBBM_00719	tRNA	76				tRNA-Glu(ttc)
KHAGGBBM_00720	gene	2899				
KHAGGBBM_00720	rRNA	2899				23S ribosomal RNA
KHAGGBBM_00721	gene	111				
KHAGGBBM_00721	rRNA	111				5S ribosomal RNA
KHAGGBBM_00722	gene	318				
KHAGGBBM_00722	CDS	318				hypothetical protein
KHAGGBBM_00723	gene	1125	yhhJ			
KHAGGBBM_00723	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
KHAGGBBM_00724	gene	2745	rbbA			
KHAGGBBM_00724	CDS	2745	rbbA		COG0842	Ribosome-associated ATPase
KHAGGBBM_00725	gene	1068				
KHAGGBBM_00725	CDS	1068				hypothetical protein
KHAGGBBM_00726	gene	1395	dosC			
KHAGGBBM_00726	CDS	1395	dosC	2.7.7.65		Diguanylate cyclase DosC
KHAGGBBM_00727	gene	1008	trpS2			
KHAGGBBM_00727	CDS	1008	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
KHAGGBBM_00728	gene	984	lsrB_2			
KHAGGBBM_00728	CDS	984	lsrB_2			Autoinducer 2-binding protein LsrB
KHAGGBBM_00729	gene	1485	rbsA_4			
KHAGGBBM_00729	CDS	1485	rbsA_4	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
KHAGGBBM_00730	gene	972	rbsC_4			
KHAGGBBM_00730	CDS	972	rbsC_4		COG1172	Ribose import permease protein RbsC
KHAGGBBM_00731	gene	957	lsrD_2			
KHAGGBBM_00731	CDS	957	lsrD_2			Autoinducer 2 import system permease protein LsrD
KHAGGBBM_00732	gene	783	kefG			
KHAGGBBM_00732	CDS	783	kefG	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefG
KHAGGBBM_00733	gene	909	syrM1			
KHAGGBBM_00733	CDS	909	syrM1			HTH-type transcriptional regulator SyrM 1
KHAGGBBM_00734	gene	420	fosA			
KHAGGBBM_00734	CDS	420	fosA	2.5.1.18		Glutathione transferase FosA
KHAGGBBM_00735	gene	1413	norG_1			
KHAGGBBM_00735	CDS	1413	norG_1		COG1167	HTH-type transcriptional regulator NorG
KHAGGBBM_00736	gene	165				
KHAGGBBM_00736	CDS	165				hypothetical protein
KHAGGBBM_00737	gene	465	slyA_1			
KHAGGBBM_00737	CDS	465	slyA_1			Transcriptional regulator SlyA
KHAGGBBM_00738	gene	1068	yibH_1			
KHAGGBBM_00738	CDS	1068	yibH_1		COG1566	Inner membrane protein YibH
KHAGGBBM_00739	gene	1065				
KHAGGBBM_00739	CDS	1065				hypothetical protein
KHAGGBBM_00740	gene	255				
KHAGGBBM_00740	CDS	255				hypothetical protein
KHAGGBBM_00741	gene	768	hadI			
KHAGGBBM_00741	CDS	768	hadI	3.-.-.-	COG1924	2-hydroxyisocaproyl-CoA dehydratase activator
KHAGGBBM_00742	gene	1152	fldC			
KHAGGBBM_00742	CDS	1152	fldC	4.2.1.-		(R)-phenyllactyl-CoA dehydratase beta subunit
KHAGGBBM_00743	gene	240				
KHAGGBBM_00743	CDS	240				hypothetical protein
KHAGGBBM_00744	gene	1242	mdtM_1			
KHAGGBBM_00744	CDS	1242	mdtM_1			Multidrug resistance protein MdtM
KHAGGBBM_00745	gene	1293				
KHAGGBBM_00745	CDS	1293				hypothetical protein
KHAGGBBM_00746	gene	663	rhtC_2			
KHAGGBBM_00746	CDS	663	rhtC_2		COG1280	Threonine efflux protein
KHAGGBBM_00747	gene	816	rhaS_4			
KHAGGBBM_00747	CDS	816	rhaS_4			HTH-type transcriptional activator RhaS
KHAGGBBM_00748	gene	927				
KHAGGBBM_00748	CDS	927				ISNCY family transposase ISRor2
KHAGGBBM_00749	gene	1371	sad_1			
KHAGGBBM_00749	CDS	1371	sad_1	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
KHAGGBBM_00750	gene	546				
KHAGGBBM_00750	CDS	546				hypothetical protein
KHAGGBBM_00751	gene	957	yjiA			
KHAGGBBM_00751	CDS	957	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
KHAGGBBM_00752	gene	204				
KHAGGBBM_00752	CDS	204				hypothetical protein
KHAGGBBM_00753	gene	2151	btsT			
KHAGGBBM_00753	CDS	2151	btsT		COG1966	Pyruvate/proton symporter BtsT
KHAGGBBM_00754	gene	567				
KHAGGBBM_00754	CDS	567				hypothetical protein
KHAGGBBM_00755	gene	822				
KHAGGBBM_00755	CDS	822				hypothetical protein
KHAGGBBM_00756	gene	513	hpaC			
KHAGGBBM_00756	CDS	513	hpaC	1.5.1.36	COG1853	4-hydroxyphenylacetate 3-monooxygenase reductase component
KHAGGBBM_00757	gene	1563	hpaB			
KHAGGBBM_00757	CDS	1563	hpaB	1.14.14.9	COG2368	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
KHAGGBBM_00758	gene	891	rhaR_2			
KHAGGBBM_00758	CDS	891	rhaR_2			HTH-type transcriptional activator RhaR
KHAGGBBM_00759	gene	1359	ttuB_1			
KHAGGBBM_00759	CDS	1359	ttuB_1			Putative tartrate transporter
KHAGGBBM_00760	gene	798	hpcH			
KHAGGBBM_00760	CDS	798	hpcH	4.1.2.52	COG3836	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase
KHAGGBBM_00761	gene	804	hpcG			
KHAGGBBM_00761	CDS	804	hpcG	4.2.1.163		2-oxo-hept-4-ene-1,7-dioate hydratase
KHAGGBBM_00762	gene	381	hpcD			
KHAGGBBM_00762	CDS	381	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
KHAGGBBM_00763	gene	858	hpcB			
KHAGGBBM_00763	CDS	858	hpcB	1.13.11.15	COG3384	3,4-dihydroxyphenylacetate 2,3-dioxygenase
KHAGGBBM_00764	gene	1467	betB_1			
KHAGGBBM_00764	CDS	1467	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
KHAGGBBM_00765	gene	765	hpcE_1			
KHAGGBBM_00765	CDS	765	hpcE_1		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
KHAGGBBM_00766	gene	633	hpcE_2			
KHAGGBBM_00766	CDS	633	hpcE_2		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
KHAGGBBM_00767	gene	441	farR			
KHAGGBBM_00767	CDS	441	farR			HTH-type transcriptional regulator FarR
KHAGGBBM_00768	gene	330				
KHAGGBBM_00768	CDS	330				hypothetical protein
KHAGGBBM_00769	gene	1017	lhpD			
KHAGGBBM_00769	CDS	1017	lhpD	1.5.1.21	COG2055	Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase
KHAGGBBM_00770	gene	1221				
KHAGGBBM_00770	CDS	1221		4.1.2.42		D-threonine aldolase
KHAGGBBM_00771	gene	1440	dan			
KHAGGBBM_00771	CDS	1440	dan	3.5.1.81		D-aminoacylase
KHAGGBBM_00772	gene	393	tdcF			
KHAGGBBM_00772	CDS	393	tdcF	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
KHAGGBBM_00773	gene	1488	opuE			
KHAGGBBM_00773	CDS	1488	opuE		COG0591	Osmoregulated proline transporter OpuE
KHAGGBBM_00774	gene	873	dgoK1_2			
KHAGGBBM_00774	CDS	873	dgoK1_2	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
KHAGGBBM_00775	gene	600	dgoA_2			
KHAGGBBM_00775	CDS	600	dgoA_2	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
KHAGGBBM_00776	gene	864	hexR_3			
KHAGGBBM_00776	CDS	864	hexR_3		COG1737	HTH-type transcriptional regulator HexR
KHAGGBBM_00777	gene	534				
KHAGGBBM_00777	CDS	534				hypothetical protein
KHAGGBBM_00778	gene	831	mshD			
KHAGGBBM_00778	CDS	831	mshD	2.3.1.189		Mycothiol acetyltransferase
KHAGGBBM_00779	gene	2766	norR_1			
KHAGGBBM_00779	CDS	2766	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
KHAGGBBM_00780	gene	423				
KHAGGBBM_00780	CDS	423				hypothetical protein
KHAGGBBM_00781	gene	471	sorB			
KHAGGBBM_00781	CDS	471	sorB	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
KHAGGBBM_00782	gene	780	agaC			
KHAGGBBM_00782	CDS	780	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
KHAGGBBM_00783	gene	852	manZ_1			
KHAGGBBM_00783	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
KHAGGBBM_00784	gene	1062	glmS_2			
KHAGGBBM_00784	CDS	1062	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
KHAGGBBM_00785	gene	1011	frlB			
KHAGGBBM_00785	CDS	1011	frlB	3.5.-.-	COG2222	Fructosamine deglycase FrlB
KHAGGBBM_00786	gene	939				
KHAGGBBM_00786	CDS	939				ISNCY family transposase ISRor2
KHAGGBBM_00787	gene	2292	mdoB			
KHAGGBBM_00787	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
KHAGGBBM_00788	gene	492				
KHAGGBBM_00788	CDS	492				hypothetical protein
KHAGGBBM_00789	gene	744	dnaC_1			
KHAGGBBM_00789	CDS	744	dnaC_1		COG1484	DNA replication protein DnaC
KHAGGBBM_00790	gene	540	dnaT			
KHAGGBBM_00790	CDS	540	dnaT			Primosomal protein 1
KHAGGBBM_00791	gene	474				
KHAGGBBM_00791	CDS	474				hypothetical protein
KHAGGBBM_00792	gene	951	yjjP			
KHAGGBBM_00792	CDS	951	yjjP		COG2966	Inner membrane protein YjjP
KHAGGBBM_00793	gene	1185	pobA			
KHAGGBBM_00793	CDS	1185	pobA	1.14.13.2	COG0654	p-hydroxybenzoate hydroxylase
KHAGGBBM_00794	gene	882	rhaR_3			
KHAGGBBM_00794	CDS	882	rhaR_3			HTH-type transcriptional activator RhaR
KHAGGBBM_00795	gene	723	yjjQ			
KHAGGBBM_00795	CDS	723	yjjQ			Putative transcription factor YjjQ
KHAGGBBM_00796	gene	675	bglJ			
KHAGGBBM_00796	CDS	675	bglJ		COG2197	Transcriptional activator protein BglJ
KHAGGBBM_00797	gene	459				
KHAGGBBM_00797	CDS	459				hypothetical protein
KHAGGBBM_00798	gene	1344	licC_3			
KHAGGBBM_00798	CDS	1344	licC_3		COG1455	Lichenan permease IIC component
KHAGGBBM_00799	gene	789	fhuF			
KHAGGBBM_00799	CDS	789	fhuF		COG4114	Ferric iron reductase protein FhuF
KHAGGBBM_00800	gene	1047				
KHAGGBBM_00800	CDS	1047				hypothetical protein
KHAGGBBM_00801	gene	279				
KHAGGBBM_00801	CDS	279				hypothetical protein
KHAGGBBM_00802	gene	87				
KHAGGBBM_00802	tRNA	87				tRNA-Leu(cag)
KHAGGBBM_00803	gene	87				
KHAGGBBM_00803	tRNA	87				tRNA-Leu(cag)
KHAGGBBM_00804	gene	87				
KHAGGBBM_00804	tRNA	87				tRNA-Leu(cag)
KHAGGBBM_00805	gene	1029	rsmC			
KHAGGBBM_00805	CDS	1029	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
KHAGGBBM_00806	gene	414	holD			
KHAGGBBM_00806	CDS	414	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
KHAGGBBM_00807	gene	447	rimI			
KHAGGBBM_00807	CDS	447	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
KHAGGBBM_00808	gene	678	yjjG			
KHAGGBBM_00808	CDS	678	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
KHAGGBBM_00809	gene	1590	prfC			
KHAGGBBM_00809	CDS	1590	prfC		COG4108	Peptide chain release factor RF3
KHAGGBBM_00810	gene	621	osmY_1			
KHAGGBBM_00810	CDS	621	osmY_1		COG2823	Osmotically-inducible protein Y
KHAGGBBM_00811	gene	162				
KHAGGBBM_00811	CDS	162				hypothetical protein
KHAGGBBM_00812	gene	1074				
KHAGGBBM_00812	CDS	1074				hypothetical protein
KHAGGBBM_00813	gene	795	yjjV			
KHAGGBBM_00813	CDS	795	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
KHAGGBBM_00814	gene	1278	nupX			
KHAGGBBM_00814	CDS	1278	nupX		COG1972	Putative nucleoside permease NupX
KHAGGBBM_00815	gene	780	deoC			
KHAGGBBM_00815	CDS	780	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
KHAGGBBM_00816	gene	1323	deoA			
KHAGGBBM_00816	CDS	1323	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
KHAGGBBM_00817	gene	1224	deoB			
KHAGGBBM_00817	CDS	1224	deoB	5.4.2.7	COG1015	Phosphopentomutase
KHAGGBBM_00818	gene	720	deoD			
KHAGGBBM_00818	CDS	720	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
KHAGGBBM_00819	gene	1017	lplA			
KHAGGBBM_00819	CDS	1017	lplA	6.3.1.20	COG0095	Lipoate-protein ligase A
KHAGGBBM_00820	gene	648	ytjB			
KHAGGBBM_00820	CDS	648	ytjB		COG3726	putative inner membrane protein Smp
KHAGGBBM_00821	gene	972	serB			
KHAGGBBM_00821	CDS	972	serB	3.1.3.3	COG0560	Phosphoserine phosphatase
KHAGGBBM_00822	gene	1383	radA			
KHAGGBBM_00822	CDS	1383	radA	3.6.4.-	COG1066	DNA repair protein RadA
KHAGGBBM_00823	gene	1233	nadR			
KHAGGBBM_00823	CDS	1233	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
KHAGGBBM_00824	gene	1668	ettA			
KHAGGBBM_00824	CDS	1668	ettA		COG0488	Energy-dependent translational throttle protein EttA
KHAGGBBM_00825	gene	1938	slt			
KHAGGBBM_00825	CDS	1938	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
KHAGGBBM_00826	gene	330	trpR			
KHAGGBBM_00826	CDS	330	trpR		COG2973	Trp operon repressor
KHAGGBBM_00827	gene	516	yjjX			
KHAGGBBM_00827	CDS	516	yjjX	3.6.1.-	COG1986	Inosine/xanthosine triphosphatase
KHAGGBBM_00828	gene	648	cobC_1			
KHAGGBBM_00828	CDS	648	cobC_1	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
KHAGGBBM_00829	gene	870	rob_1			
KHAGGBBM_00829	CDS	870	rob_1		COG2207	Right origin-binding protein
KHAGGBBM_00830	gene	474				
KHAGGBBM_00830	CDS	474				hypothetical protein
KHAGGBBM_00831	gene	690	creB			
KHAGGBBM_00831	CDS	690	creB		COG0745	Transcriptional regulatory protein CreB
KHAGGBBM_00832	gene	1425	creC			
KHAGGBBM_00832	CDS	1425	creC	2.7.13.3	COG0642	Sensor protein CreC
KHAGGBBM_00833	gene	1359	creD			
KHAGGBBM_00833	CDS	1359	creD		COG4452	Inner membrane protein CreD
KHAGGBBM_00834	gene	717	arcA			
KHAGGBBM_00834	CDS	717	arcA		COG0745	Aerobic respiration control protein ArcA
KHAGGBBM_00835	gene	687	trmL_1			
KHAGGBBM_00835	CDS	687	trmL_1	2.1.1.207		tRNA (cytidine(34)-2'-O)-methyltransferase
KHAGGBBM_00836	gene	2463	thrA			
KHAGGBBM_00836	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
KHAGGBBM_00837	gene	930	thrB			
KHAGGBBM_00837	CDS	930	thrB	2.7.1.39	COG0083	Homoserine kinase
KHAGGBBM_00838	gene	1281	thrC			
KHAGGBBM_00838	CDS	1281	thrC	4.2.3.1	COG0498	Threonine synthase
KHAGGBBM_00839	gene	378				
KHAGGBBM_00839	CDS	378				hypothetical protein
KHAGGBBM_00840	gene	774	yaaA			
KHAGGBBM_00840	CDS	774	yaaA		COG3022	Peroxide stress resistance protein YaaA
KHAGGBBM_00841	gene	1431	alsT			
KHAGGBBM_00841	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
KHAGGBBM_00842	gene	954	talB_1			
KHAGGBBM_00842	CDS	954	talB_1	2.2.1.2	COG0176	Transaldolase B
KHAGGBBM_00843	gene	588	mog			
KHAGGBBM_00843	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
KHAGGBBM_00844	gene	1305	proP_2			
KHAGGBBM_00844	CDS	1305	proP_2			Proline/betaine transporter
KHAGGBBM_00845	gene	567	satP			
KHAGGBBM_00845	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
KHAGGBBM_00846	gene	750				
KHAGGBBM_00846	CDS	750				hypothetical protein
KHAGGBBM_00847	gene	405				
KHAGGBBM_00847	CDS	405				hypothetical protein
KHAGGBBM_00848	gene	1917	dnaK_1			
KHAGGBBM_00848	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
KHAGGBBM_00849	gene	1134	dnaJ			
KHAGGBBM_00849	CDS	1134	dnaJ		COG0484	Chaperone protein DnaJ
KHAGGBBM_00850	gene	1224	nhaA			
KHAGGBBM_00850	CDS	1224	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
KHAGGBBM_00851	gene	897	nhaR			
KHAGGBBM_00851	CDS	897	nhaR		COG0583	Transcriptional activator protein NhaR
KHAGGBBM_00852	gene	210				
KHAGGBBM_00852	CDS	210				hypothetical protein
KHAGGBBM_00853	gene	939	ribF			
KHAGGBBM_00853	CDS	939	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
KHAGGBBM_00854	gene	2853	ileS			
KHAGGBBM_00854	CDS	2853	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
KHAGGBBM_00855	gene	501	lspA			
KHAGGBBM_00855	CDS	501	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
KHAGGBBM_00856	gene	450	fkpB			
KHAGGBBM_00856	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
KHAGGBBM_00857	gene	951	ispH			
KHAGGBBM_00857	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
KHAGGBBM_00858	gene	915	rihC			
KHAGGBBM_00858	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
KHAGGBBM_00859	gene	366	yhaI			
KHAGGBBM_00859	CDS	366	yhaI		COG3152	Inner membrane protein YhaI
KHAGGBBM_00860	gene	930	dmlR_2			
KHAGGBBM_00860	CDS	930	dmlR_2			HTH-type transcriptional regulator DmlR
KHAGGBBM_00861	gene	630				
KHAGGBBM_00861	CDS	630				hypothetical protein
KHAGGBBM_00862	gene	822	dapB			
KHAGGBBM_00862	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
KHAGGBBM_00863	gene	1149	carA_1			
KHAGGBBM_00863	CDS	1149	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
KHAGGBBM_00864	gene	3225	carB			
KHAGGBBM_00864	CDS	3225	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
KHAGGBBM_00865	gene	234	ygdR_1			
KHAGGBBM_00865	CDS	234	ygdR_1			putative lipoprotein YgdR
KHAGGBBM_00866	gene	534	kefF_1			
KHAGGBBM_00866	CDS	534	kefF_1	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
KHAGGBBM_00867	gene	1866	kefC_1			
KHAGGBBM_00867	CDS	1866	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
KHAGGBBM_00868	gene	480				
KHAGGBBM_00868	CDS	480				IS1595 family transposase ISSsu9
KHAGGBBM_00869	gene	849	apaH			
KHAGGBBM_00869	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
KHAGGBBM_00870	gene	378	apaG			
KHAGGBBM_00870	CDS	378	apaG		COG2967	Protein ApaG
KHAGGBBM_00871	gene	822	rsmA			
KHAGGBBM_00871	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
KHAGGBBM_00872	gene	990	pdxA			
KHAGGBBM_00872	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
KHAGGBBM_00873	gene	1287	surA			
KHAGGBBM_00873	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
KHAGGBBM_00874	gene	2349	lptD			
KHAGGBBM_00874	CDS	2349	lptD		COG1452	LPS-assembly protein LptD
KHAGGBBM_00875	gene	828	djlA			
KHAGGBBM_00875	CDS	828	djlA		COG1076	Co-chaperone protein DjlA
KHAGGBBM_00876	gene	699	citB			
KHAGGBBM_00876	CDS	699	citB		COG4565	Transcriptional regulatory protein CitB
KHAGGBBM_00877	gene	1626	citA			
KHAGGBBM_00877	CDS	1626	citA	2.7.13.3	COG3290	Sensor histidine kinase CitA
KHAGGBBM_00878	gene	1365	cimH			
KHAGGBBM_00878	CDS	1365	cimH		COG3493	Citrate/malate transporter
KHAGGBBM_00879	gene	540	citX			
KHAGGBBM_00879	CDS	540	citX	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
KHAGGBBM_00880	gene	660	rluA_1			
KHAGGBBM_00880	CDS	660	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
KHAGGBBM_00881	gene	2907	rapA			
KHAGGBBM_00881	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
KHAGGBBM_00882	gene	2358	polB			
KHAGGBBM_00882	CDS	2358	polB	2.7.7.7	COG0417	DNA polymerase II
KHAGGBBM_00883	gene	696	araD			
KHAGGBBM_00883	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
KHAGGBBM_00884	gene	1503	araA			
KHAGGBBM_00884	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
KHAGGBBM_00885	gene	1710	araB_1			
KHAGGBBM_00885	CDS	1710	araB_1	2.7.1.16	COG1069	Ribulokinase
KHAGGBBM_00886	gene	846	araC_2			
KHAGGBBM_00886	CDS	846	araC_2			Arabinose operon regulatory protein
KHAGGBBM_00887	gene	768	yabI_1			
KHAGGBBM_00887	CDS	768	yabI_1		COG0586	Inner membrane protein YabI
KHAGGBBM_00888	gene	702	thiQ			
KHAGGBBM_00888	CDS	702	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
KHAGGBBM_00889	gene	1611				
KHAGGBBM_00889	CDS	1611				hypothetical protein
KHAGGBBM_00890	gene	984	thiB			
KHAGGBBM_00890	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
KHAGGBBM_00891	gene	1656	sgrR_1			
KHAGGBBM_00891	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
KHAGGBBM_00892	gene	153				
KHAGGBBM_00892	CDS	153				hypothetical protein
KHAGGBBM_00893	gene	1185	setA			
KHAGGBBM_00893	CDS	1185	setA			Sugar efflux transporter A
KHAGGBBM_00894	gene	1311	gudP_1			
KHAGGBBM_00894	CDS	1311	gudP_1			putative glucarate transporter
KHAGGBBM_00895	gene	897	gltC_1			
KHAGGBBM_00895	CDS	897	gltC_1			HTH-type transcriptional regulator GltC
KHAGGBBM_00896	gene	756	aroD			
KHAGGBBM_00896	CDS	756	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
KHAGGBBM_00897	gene	1215	ydiM			
KHAGGBBM_00897	CDS	1215	ydiM			Inner membrane transport protein YdiM
KHAGGBBM_00898	gene	579	aroE_1			
KHAGGBBM_00898	CDS	579	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
KHAGGBBM_00899	gene	309	aroE_2			
KHAGGBBM_00899	CDS	309	aroE_2	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
KHAGGBBM_00900	gene	2034				
KHAGGBBM_00900	CDS	2034		1.-.-.-		NADH oxidase
KHAGGBBM_00901	gene	606	leuD1			
KHAGGBBM_00901	CDS	606	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
KHAGGBBM_00902	gene	1401	leuC			
KHAGGBBM_00902	CDS	1401	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
KHAGGBBM_00903	gene	1092	leuB			
KHAGGBBM_00903	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
KHAGGBBM_00904	gene	1572	leuA_1			
KHAGGBBM_00904	CDS	1572	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
KHAGGBBM_00905	gene	951	leuO			
KHAGGBBM_00905	CDS	951	leuO			HTH-type transcriptional regulator LeuO
KHAGGBBM_00906	gene	1725	ilvI_1			
KHAGGBBM_00906	CDS	1725	ilvI_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
KHAGGBBM_00907	gene	492	ilvH			
KHAGGBBM_00907	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
KHAGGBBM_00908	gene	1005	cra_1			
KHAGGBBM_00908	CDS	1005	cra_1		COG1609	Catabolite repressor/activator
KHAGGBBM_00909	gene	459	mraZ			
